example,image_id,category,observed_outcomes,expected_result,model_prediction,tp,fp,fn,probable_cause,proposed_improvement
example_01_anatomy_000375_b2f220ed.jpg,anatomy_000375_b2f220ed,misclassification,false positive; false negative; misclassification,anatomy_central_incisor x4; anatomy_lateral_incisor x4; anatomy_canine x4; anatomy_1st_premolar x4; anatomy_2nd_premolar x4; anatomy_1st_molar x4; anatomy_2nd_molar x3,anatomy_central_incisor x3; anatomy_lateral_incisor x1,0,4,27,"Overlapping visual features, class imbalance, or annotation inconsistency.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_02_anatomy_000044_03e0264a.jpg,anatomy_000044_03e0264a,misclassification,correct detection; false positive; false negative; misclassification,anatomy_central_incisor x4; anatomy_lateral_incisor x4; anatomy_canine x4; anatomy_1st_premolar x4; anatomy_2nd_molar x4; anatomy_1st_molar x4; anatomy_2nd_premolar x3,anatomy_central_incisor x4; anatomy_lateral_incisor x2,2,4,25,"Overlapping visual features, class imbalance, or annotation inconsistency.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_03_anatomy_000376_a6f2bb96.jpg,anatomy_000376_a6f2bb96,misclassification,correct detection; false positive; false negative; misclassification,anatomy_central_incisor x4; anatomy_lateral_incisor x4; anatomy_canine x4; anatomy_1st_premolar x4; anatomy_2nd_premolar x4; anatomy_1st_molar x4,anatomy_central_incisor x3; anatomy_canine x2; anatomy_lateral_incisor x1,2,4,22,"Overlapping visual features, class imbalance, or annotation inconsistency.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_04_anatomy_000028_58098eba.jpg,anatomy_000028_58098eba,misclassification,correct detection; false positive; false negative; misclassification,anatomy_central_incisor x4; anatomy_lateral_incisor x4; anatomy_canine x4; anatomy_1st_premolar x4; anatomy_2nd_premolar x4; anatomy_1st_molar x4; anatomy_2nd_molar x2,anatomy_central_incisor x2,1,1,25,"Overlapping visual features, class imbalance, or annotation inconsistency.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_05_anatomy_000047_df2d411a.jpg,anatomy_000047_df2d411a,misclassification,correct detection; false positive; false negative; misclassification,anatomy_central_incisor x4; anatomy_lateral_incisor x4; anatomy_canine x4; anatomy_1st_premolar x4; anatomy_2nd_premolar x4; anatomy_1st_molar x4; anatomy_2nd_molar x3,anatomy_central_incisor x2; anatomy_canine x1,2,1,25,"Overlapping visual features, class imbalance, or annotation inconsistency.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_06_disease_013717_353df961.jpg,disease_013717_353df961,false_negative,false negative,disease_crown x8; disease_root_piece x8; disease_missing_teeth x4; disease_maxillary_sinus x2; disease_mandibular_canal x2; disease_filling x1; disease_root_canal_treatment x1,No prediction at selected threshold,0,0,26,"Low contrast, small lesion, limited training, or conservative threshold.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_07_disease_009871_726a6ccc.jpg,disease_009871_726a6ccc,false_negative,false negative,disease_caries x21,No prediction at selected threshold,0,0,21,"Low contrast, small lesion, limited training, or conservative threshold.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_08_disease_013554_0a1c64b9.jpg,disease_013554_0a1c64b9,false_negative,false negative,disease_primary_teeth x17; disease_caries x4,No prediction at selected threshold,0,0,21,"Low contrast, small lesion, limited training, or conservative threshold.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_09_disease_013658_750513b9.jpg,disease_013658_750513b9,false_negative,false negative,disease_caries x21,No prediction at selected threshold,0,0,21,"Low contrast, small lesion, limited training, or conservative threshold.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
example_10_disease_000942_3bc87ae3.jpg,disease_000942_3bc87ae3,false_negative,false negative,disease_caries x19,No prediction at selected threshold,0,0,19,"Low contrast, small lesion, limited training, or conservative threshold.","Clinical relabel review, more patient-diverse data, and class-aware sampling."
